Time,Salinity_CauNoi,wind_speed,temp,total_precipitation
2020-01-03 01:00:00,1.6,1.6462431054168307,24.859280000000012,0.0
2020-01-03 03:00:00,1.2,0.6611748353546247,28.42425000000003,0.0
2020-01-03 05:00:00,1.1,0.8497760353995373,31.325900000000047,0.0009536743
2020-01-03 07:00:00,1.4,1.9566449163387438,32.16915,0.0
2020-01-03 09:00:00,1.7,1.9960252106315013,31.830219999999997,0.0
2020-01-03 11:00:00,1.5,0.944268287892808,28.056600000000003,0.0
2020-01-03 13:00:00,1.1,2.0394919257460224,27.507780000000025,0.0
2020-01-03 15:00:00,0.8,2.5324132082880055,26.72555,0.0
2020-01-03 17:00:00,0.5,1.3948895438046351,25.03860000000003,0.0
2020-01-03 19:00:00,0.7,1.1405904189901166,24.18655000000001,0.0
2020-01-03 21:00:00,1.0,0.4734041819666663,24.692530000000033,0.0
2020-01-03 23:00:00,1.2,0.7244186844877156,23.469870000000014,0.0
2020-01-04 01:00:00,1.3,0.9917067194506735,24.19192000000004,0.0
2020-01-04 03:00:00,1.1,0.8668923670184603,27.247920000000022,0.0
2020-01-04 05:00:00,0.8,0.604800651680354,30.733640000000037,0.011444092
2020-01-04 07:00:00,0.7,1.6487622738160228,31.53280000000001,0.020027160000000002
2020-01-04 09:00:00,0.6,1.8805102748487073,31.291530000000023,0.002861023
2020-01-04 11:00:00,1.0,0.26082874781446597,29.785799999999995,0.0
2020-01-04 13:00:00,1.3,2.165418998091419,26.80830000000003,0.0
2020-01-04 15:00:00,1.1,2.2204503454603315,25.449550000000045,0.0
2020-01-04 17:00:00,0.8,1.500688405570655,24.07522,0.0
2020-01-04 19:00:00,0.6,1.3081601777325345,23.09512000000001,0.0
2020-01-04 21:00:00,0.7,1.3061886556264193,22.835000000000036,0.0
2020-01-04 23:00:00,1.1,1.0521856895366475,23.040459999999996,0.0
2020-01-08 01:00:00,1.6,1.8382570320449776,26.903070000000014,0.0
2020-01-08 03:00:00,1.9,2.5345918410408017,29.495750000000044,0.0
2020-01-08 05:00:00,1.7,2.983293549729622,30.857259999999997,0.116825104
2020-01-08 07:00:00,1.3,2.9056133607206585,33.25744000000003,0.01859665
2020-01-08 09:00:00,0.9,2.252468669891597,32.39254,0.0
