lookback_steps,horizon_steps,lookback_h,horizon_h,val_r2,val_mse
3,6,6,12,0.8381,0.7363
3,12,6,24,0.8312,0.7471
3,24,6,48,0.7502,1.1058
6,6,12,12,0.8838,0.5271
6,12,12,24,0.8693,0.5851
6,24,12,48,0.7985,0.9017
12,6,24,12,0.8868,0.5084
12,12,24,24,0.8595,0.6313
12,24,24,48,0.7797,0.9897
24,6,48,12,0.8692,0.5783
24,12,48,24,0.8475,0.6743
24,24,48,48,0.755,1.0427
