lookback_steps,horizon_steps,lookback_h,horizon_h,val_r2,val_mse
3,6,6,12,0.7981,0.9182
3,12,6,24,0.7868,0.9435
3,24,6,48,0.6875,1.3833
6,6,12,12,0.8518,0.6724
6,12,12,24,0.8433,0.7016
6,24,12,48,0.7498,1.1199
12,6,24,12,0.8413,0.7129
12,12,24,24,0.8243,0.7894
12,24,24,48,0.6698,1.4835
24,6,48,12,0.8146,0.82
24,12,48,24,0.808,0.8489
24,24,48,48,0.652,1.4811
