lookback_steps,horizon_steps,lookback_h,horizon_h,val_r2,val_mse
3,6,6,12,0.7592,1.0951
3,12,6,24,0.7202,1.2385
3,24,6,48,0.6174,1.6936
6,6,12,12,0.8091,0.8659
6,12,12,24,0.7696,1.0314
6,24,12,48,0.6829,1.4195
12,6,24,12,0.7307,1.2098
12,12,24,24,0.7248,1.2361
12,24,24,48,0.6378,1.6273
24,6,48,12,0.7915,0.9221
24,12,48,24,0.7707,1.0142
24,24,48,48,0.6075,1.6705
