scenario,input,target,model,lookback_h,horizon_h,val_RMSE,val_MAE,val_R2,test_RMSE,test_MAE,test_R2
SC1,CauNoi,CauNoi,RNN,12,4,0.9864,0.7694,0.7907,1.0634,0.8272,0.8522
SC1,CauNoi,CauNoi,RNN,12,8,1.2732,0.9652,0.6506,1.2713,0.9721,0.7888
SC1,CauNoi,CauNoi,RNN,12,12,1.2712,0.9878,0.6508,1.2527,0.967,0.7947
SC1,CauNoi,CauNoi,RNN,24,4,0.6984,0.5455,0.8945,0.9726,0.7117,0.8759
SC1,CauNoi,CauNoi,RNN,24,8,0.7786,0.6076,0.8686,1.1232,0.8177,0.8346
SC1,CauNoi,CauNoi,RNN,24,12,0.8093,0.6212,0.8577,1.2224,0.8866,0.8039
SC1,CauNoi,CauNoi,RNN,48,4,0.6586,0.5001,0.9051,1.0408,0.7584,0.8573
SC1,CauNoi,CauNoi,RNN,48,8,0.7375,0.5631,0.8808,1.1741,0.8542,0.8181
SC1,CauNoi,CauNoi,RNN,48,12,0.7701,0.5893,0.8696,1.224,0.8963,0.8021
SC1,CauNoi,CauNoi,LSTM,12,4,1.0125,0.7813,0.7794,1.0692,0.8199,0.8506
SC1,CauNoi,CauNoi,LSTM,12,8,1.2716,0.963,0.6514,1.2448,0.9548,0.7975
SC1,CauNoi,CauNoi,LSTM,12,12,1.3133,1.0186,0.6273,1.3232,1.0062,0.7709
SC1,CauNoi,CauNoi,LSTM,24,4,0.7236,0.5689,0.8868,0.9607,0.7128,0.879
SC1,CauNoi,CauNoi,LSTM,24,8,0.9888,0.795,0.7881,1.251,0.9663,0.7948
SC1,CauNoi,CauNoi,LSTM,24,12,0.9236,0.7264,0.8147,1.2576,0.9434,0.7924
SC1,CauNoi,CauNoi,LSTM,48,4,0.7281,0.5707,0.884,0.9816,0.7356,0.8731
SC1,CauNoi,CauNoi,LSTM,48,8,1.0355,0.8136,0.765,1.3116,1.0216,0.7731
SC1,CauNoi,CauNoi,LSTM,48,12,0.9777,0.7753,0.7898,1.2866,0.951,0.7813
SC1,CauNoi,CauNoi,GRU,12,4,1.0099,0.7664,0.7806,1.0854,0.8319,0.846
SC1,CauNoi,CauNoi,GRU,12,8,1.3337,1.0141,0.6165,1.277,0.9711,0.7868
SC1,CauNoi,CauNoi,GRU,12,12,1.3527,1.0419,0.6045,1.3029,0.9896,0.7778
SC1,CauNoi,CauNoi,GRU,24,4,0.7113,0.5527,0.8906,0.9567,0.7023,0.88
SC1,CauNoi,CauNoi,GRU,24,8,0.8794,0.689,0.8324,1.1264,0.8414,0.8336
SC1,CauNoi,CauNoi,GRU,24,12,0.883,0.6918,0.8306,1.1417,0.8458,0.8289
SC1,CauNoi,CauNoi,GRU,48,4,0.744,0.5799,0.8789,1.04,0.7794,0.8575
SC1,CauNoi,CauNoi,GRU,48,8,0.9358,0.7316,0.8081,1.1288,0.8622,0.8319
SC1,CauNoi,CauNoi,GRU,48,12,1.0304,0.8183,0.7665,1.2755,0.9808,0.7851
SC1,CauNoi,CauNoi,CNN_LSTM,12,4,1.0325,0.7984,0.7707,1.0921,0.848,0.8441
SC1,CauNoi,CauNoi,CNN_LSTM,12,8,1.2684,0.9622,0.6532,1.3153,1.0132,0.7738
SC1,CauNoi,CauNoi,CNN_LSTM,12,12,1.3104,1.0161,0.6289,1.4587,1.0924,0.7215
SC1,CauNoi,CauNoi,CNN_LSTM,24,4,0.7992,0.6235,0.8619,1.0022,0.7637,0.8683
SC1,CauNoi,CauNoi,CNN_LSTM,24,8,1.018,0.8076,0.7754,1.3671,0.9897,0.7549
SC1,CauNoi,CauNoi,CNN_LSTM,24,12,0.9675,0.7717,0.7966,2.0002,1.073,0.475
SC1,CauNoi,CauNoi,CNN_LSTM,48,4,0.8372,0.6512,0.8467,1.054,0.793,0.8537
SC1,CauNoi,CauNoi,CNN_LSTM,48,8,1.0731,0.8559,0.7476,1.3839,1.0863,0.7473
SC1,CauNoi,CauNoi,CNN_LSTM,48,12,1.0428,0.8204,0.7608,1.7254,1.123,0.6067
